Feature,Starter,Basic,Standard,Custom,Pro
Recommended for,Simple Apps (1-5 users),Simple Apps,Advanced Apps + Data Import,Advanced Apps + Data Import + Customizations,Advanced Apps + Data Import + Customizations
Dedicated Consultant Hours,4 hours,25 hours,50 hours,100 hours,200 hours
Project Management,No,Yes,Yes,Yes,Yes
Email + Phone Support,Yes,Yes,Yes,Yes,Yes
Training & Coaching,Yes,Yes,Yes,Yes,Yes
Configuration,Yes,Yes,Yes,Yes,Yes
Data Import Assistance,No,Yes,Yes,Yes,Yes
Onsite Consulting,No,No,Yes,Yes,Yes
App Customization,No,No,No,No,No
Customizations (forms/reports/workflow),No,Yes,Yes,Yes,Yes
Developments,No,No,Yes,Yes,Yes
Performance Issues,No,No,Yes,Yes,Yes
Price - Returning Customers (USD),223.53,1150.00,2240.00,4000.00,8000.00
Price - New Customers 15% off (USD),190.00,977.50,1904.00,3400.00,6800.00
