Product Name,Price,Private Network Price,vCPU Cores,RAM (GB),Storage,Port Speed,Traffic (TB),VPS Name,Region - Australia (Sydney),Region - Asia (Singapore),Region - Asia (Japan),Region - Asia (India),Region - US (Central),Region - US (East),Region - US (West),Region - UK,Additional IP,Firewall Enabled,Server Management - Managed,Monitoring - Full,Auto Backup,Backup - 100 GB FTP,Backup - 500 GB FTP,Backup - 1 TB FTP,Backup - 2 TB FTP
STORAGE VPS 10,$4.95 ,$2.99 ,$2.00 ,$4.00 ,300 GB SSD,200 Mbit/s,32,Cloud VPS 10,$2.40 ,$2.90 ,$2.90 ,$2.70 ,$1.20 ,$1.80 ,$1.50 ,$1.20 ,$4.50 ,$1.29 ,$144.99 ,$14.99 ,$1.85 ,$5.79 ,$18.39 ,$29.89 ,$45.99 
STORAGE VPS 20,$7.95 ,$2.99 ,$3.00 ,$8.00 ,400 GB SSD,300 Mbit/s,32,Cloud VPS 20,$3.70 ,$4.40 ,$4.50 ,$4.20 ,$1.80 ,$2.80 ,$2.30 ,$1.80 ,$4.50 ,$1.29 ,$144.99 ,$14.99 ,$2.45 ,$5.79 ,$18.39 ,$29.89 ,$45.99 
STORAGE VPS 30,$15.00 ,$2.99 ,$6.00 ,$18.00 ,1 TB SSD,600 Mbit/s,32,Cloud VPS 30,$7.50 ,$8.80 ,$9.00 ,$8.30 ,$3.70 ,$5.50 ,$4.50 ,$3.70 ,$4.50 ,$1.29 ,$144.99 ,$14.99 ,$2.45 ,$5.79 ,$18.39 ,$29.89 ,$45.99 
STORAGE VPS 40,$26.00 ,$2.99 ,$8.00 ,$30.00 ,1.2 TB SSD,800 Mbit/s,32,Cloud VPS 40,$13.30 ,$15.70 ,$16.00 ,$14.70 ,$6.50 ,$9.70 ,$8.10 ,$6.50 ,$4.50 ,$1.29 ,$144.99 ,$14.99 ,$7.35 ,$5.79 ,$18.39 ,$29.89 ,$45.99 
STORAGE VPS 50,$46.00 ,$2.99 ,$14.00 ,$50.00 ,1.4 TB SSD,1 Gbit/s,32,Cloud VPS 50,$19.70 ,$23.20 ,$23.70 ,$21.80 ,$9.60 ,$14.30 ,$11.90 ,$9.60 ,$4.50 ,$1.29 ,$144.99 ,$14.99 ,$9.25 ,$5.79 ,$18.39 ,$29.89 ,$45.99 
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
